study_name,comments,part_id,language,item,known
CogMisp24,NA,P75,en,window,0
CogMisp24,NA,P75,fr,banane,0
CogMisp24,NA,P75,fr,bol,0
CogMisp24,NA,P75,fr,papillon,0
CogMisp24,NA,P75,fr,chocolat,0
CogMisp24,NA,P75,fr,biscuit,0
CogMisp24,NA,P75,fr,pied,0
CogMisp24,NA,P75,fr,girafe,0
CogMisp24,NA,P75,fr,singe,0
CogMisp24,NA,P75,fr,bouche,0
CogMisp24,NA,P75,fr,pizza,0
CogMisp24,NA,P75,fr,table,0
CogMisp24,NA,P75,fr,fenetre,0
CogMisp24,NA,P50,en,banana,1
CogMisp24,NA,P50,en,bowl,1
CogMisp24,NA,P50,en,butterfly,1
CogMisp24,NA,P50,en,chocolate,1
CogMisp24,NA,P50,en,cookie,1
CogMisp24,NA,P50,en,foot,1
CogMisp24,NA,P50,en,giraffe,1
CogMisp24,NA,P50,en,monkey,1
CogMisp24,NA,P50,en,mouth,1
CogMisp24,NA,P50,en,pizza,1
CogMisp24,NA,P50,en,table,1
CogMisp24,NA,P50,en,window,1
CogMisp24,NA,P50,fr,banane,1
CogMisp24,NA,P50,fr,bol,0
CogMisp24,NA,P50,fr,papillon,1
CogMisp24,NA,P50,fr,chocolat,1
CogMisp24,NA,P50,fr,biscuit,0
CogMisp24,NA,P50,fr,pied,0
CogMisp24,NA,P50,fr,girafe,1
CogMisp24,NA,P50,fr,singe,0
CogMisp24,NA,P50,fr,bouche,0
CogMisp24,NA,P50,fr,pizza,1
CogMisp24,NA,P50,fr,table,1
CogMisp24,NA,P50,fr,fenetre,0
CogMisp24,NA,P69,en,banana,1
CogMisp24,NA,P69,en,bowl,1
CogMisp24,NA,P69,en,butterfly,1
CogMisp24,NA,P69,en,chocolate,1
CogMisp24,NA,P69,en,cookie,1
CogMisp24,NA,P69,en,foot,1
CogMisp24,NA,P69,en,giraffe,1
CogMisp24,NA,P69,en,monkey,1
CogMisp24,NA,P69,en,mouth,1
CogMisp24,NA,P69,en,pizza,1
CogMisp24,NA,P69,en,table,1
CogMisp24,NA,P69,en,window,1
CogMisp24,NA,P69,fr,banane,1
CogMisp24,NA,P69,fr,bol,1
CogMisp24,NA,P69,fr,papillon,0
CogMisp24,NA,P69,fr,chocolat,0
CogMisp24,NA,P69,fr,biscuit,1
CogMisp24,NA,P69,fr,pied,1
CogMisp24,NA,P69,fr,girafe,1
CogMisp24,NA,P69,fr,singe,1
CogMisp24,NA,P69,fr,bouche,1
CogMisp24,NA,P69,fr,pizza,0
CogMisp24,NA,P69,fr,table,1
CogMisp24,NA,P69,fr,fenetre,0
CogMisp24,NA,P60,en,banana,1
CogMisp24,NA,P60,en,bowl,1
CogMisp24,NA,P60,en,butterfly,1
CogMisp24,NA,P60,en,chocolate,1
CogMisp24,NA,P60,en,cookie,1
CogMisp24,NA,P60,en,foot,1
CogMisp24,NA,P60,en,giraffe,1
CogMisp24,NA,P60,en,monkey,1
CogMisp24,NA,P60,en,mouth,1
CogMisp24,NA,P60,en,pizza,1
CogMisp24,NA,P60,en,table,1
CogMisp24,NA,P60,en,window,1
CogMisp24,NA,P60,fr,banane,1
CogMisp24,NA,P60,fr,bol,1
CogMisp24,NA,P60,fr,papillon,1
CogMisp24,NA,P60,fr,chocolat,1
CogMisp24,NA,P60,fr,biscuit,1
CogMisp24,NA,P60,fr,pied,1
CogMisp24,NA,P60,fr,girafe,1
CogMisp24,NA,P60,fr,singe,1
CogMisp24,NA,P60,fr,bouche,1
CogMisp24,NA,P60,fr,pizza,1
CogMisp24,NA,P60,fr,table,1
CogMisp24,NA,P60,fr,fenetre,0
CogMisp24,NA,P40,en,banana,1
CogMisp24,NA,P40,en,bowl,1
CogMisp24,NA,P40,en,butterfly,1
CogMisp24,NA,P40,en,chocolate,1
CogMisp24,NA,P40,en,cookie,1
CogMisp24,NA,P40,en,foot,1
CogMisp24,NA,P40,en,giraffe,1
CogMisp24,NA,P40,en,monkey,1
CogMisp24,NA,P40,en,mouth,1
CogMisp24,NA,P40,en,pizza,1
CogMisp24,NA,P40,en,table,1
CogMisp24,NA,P40,en,window,1
CogMisp24,NA,P40,fr,banane,0
CogMisp24,NA,P40,fr,bol,0
CogMisp24,NA,P40,fr,papillon,0
